query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
deficiency craniofacial abnormalities,C0795945,Fryns syndrome (2),1,,50,51.6000,,and_definitions;phrase_definitions,,"Moderate mental deficiency, craniofacial abnormalities, hypogonadism, eunuchoid habitus, diabetes mellitus, and epilepsy are the most frequent symptoms."
growth inhibiting organic disorder,C4288590,Non-Organic Failure to Thrive,1,,50,43.4842,,and_definitions;phrase_definitions,,"Failure to thrive caused by inadequate intake due to environmental influences, stimulus deprivation- poverty, feeding techniques, or psychological reason, and without any apparent growth-inhibiting organic disorder."
infection with hundreds,C0026393,Molluscum Contagiosum,1,,50,10.7913,,and_definitions;phrase_definitions,,"Molluscum contagiosum is a cutaneous viral infection that is commonly observed in both healthy and immunocompromised children. The infection is caused by a member of the Poxviridae family, the molluscum contagiosum virus. Molluscum contagiosum presents as single or multiple small white or flesh-colored papules that typically have a central umbilication. The central umbilication may be difficult to observe in young children and, instead, may bear an appearance similar to an acneiform eruption. The lesions vary in size (from 1 mm to 1 cm in diameter) and are painless, although a subset of patients report pruritus in the area of infection. On average, 11-20 papules appear on the body during the course of infection and generally remains a self-limiting disease. However, in immunosuppressed patients, molluscum contagiosum can be a severe infection with hundreds of lesions developing on the body. Extensive eruption is indicative of an advanced immunodeficiency state. [PMID:24740746]"
inflammation or other injury,C0016059,Fibrosis,1,,50,19.4293,,and_definitions;phrase_definitions,,"Any pathological condition where fibrous connective tissue invades any organ, usually as a consequence of inflammation or other injury."
skin with recent exposure,C0031736,Polymorphous light eruption,1,,50,34.4079,,and_definitions;phrase_definitions,,"A red, edematous rash that occurs on areas of the skin with recent exposure to sunlight."
blood from the left,C0226670,Structure of left pulmonary vein,2,,49,37.8766,,and_definitions;phrase_definitions,,A vein that returns oxygenated blood from the left lung to the left atrium of the heart.
blood under the influence,C0151631,Erythrocyte sedimentation rate below reference range,2,,49,36.7122,,and_definitions;phrase_definitions,,A reduced erythrocyte sedimentation rate (ESR). The ESR is a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling. [PMID:10524488]
infection caused by genus,C5235087,Cryptococcosis,2,,49,19.4503,,and_definitions;phrase_definitions,,Fungal infection caused by genus CRYPTOCOCCUS.
inflammation of eyelid membranes,C0491486,"ANTISERA, FLUORESCENT, ALL TYPES, HEMOPHILUS SPP.",2,,49,30.6621,,and_definitions;phrase_definitions,,"Haemophilus spp. serological reagents are devices that consist of antigens and antisera, including antisera conjugated with a fluorescent dye, that are used in serological tests to identify Haemophilus spp. directly from clinical specimens or tissue culture isolates derived from clinical specimens. The identification aids in the diagnosis of diseases caused by bacteria belonging to the genus Haemophilus and provides epidemiological information on diseases cause by these microorganisms. Diseases most often caused by Haemophilus spp. include pneumonia, pharyngitis, sinusitis, vaginitis, chancroid venereal disease, and a contagious form of conjunctivitis (inflammation of eyelid membranes)."
inflammation of the underlying,C0030330,"Panniculitis, Peritoneal",2,,49,15.2439,,and_definitions;phrase_definitions,,"INFLAMMATION of the underlying layer of ADIPOSE TISSUE (panniculus) of the PERITONEUM, usually of the MESENTERY or the OMENTUM. There are several forms with various names and are usually characterized by infiltration of LYMPHOCYTES and NEUTROPHILS, fat NECROSIS, and FIBROSIS."
tumor cell migration tumor,C3490973,BMS-813160,2,,49,30.2066,,and_definitions;phrase_definitions,,"An antagonist of both human C-C chemokine receptor types 2 (CCR2; CD192) and 5 (CCR5; CD195), with potential immunomodulating and antineoplastic activities. Upon administration, CCR2/CCR5 antagonist BMS-813160 specifically binds and prevents the activation of both CCR2 and CCR5. This inhibits the activation of CCR2/CCR5-mediated signal transduction pathways and may inhibit inflammatory processes, angiogenesis, tumor cell migration, tumor cell proliferation and invasion. The G-protein coupled chemokine receptors CCR2 and CCR5 are expressed on the surface of monocytes and macrophages, and stimulate their migration and infiltration; they play key roles in inflammation and autoimmune disease. CCR2 and CCR5 are overexpressed in certain cancer cell types, and are also involved in angiogenesis, and in tumor cell migration, proliferation and metastasis."
accumulation of white blood,C1155266,Inflammatory Response,3,,48,27.8132,,and_definitions;phrase_definitions,,"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages. [GO_REF:0000022, ISBN:0198506732]"
congenital absences or abnormalities,C1961345,"Prostheses, Upper Limb, Finger/Thumb",3,,48,23.4475,,and_definitions;phrase_definitions,,"Upper limb prostheses designed for partial or total replacement of a missing finger or thumb for cosmetic and/or functional reasons. These prostheses are typically external or partially implanted devices that resemble a natural finger or thumb; they are usually made of metal (e.g., titanium), hard plastics (e.g., polyethylene), silicone, or a combination of materials and usually require some degree of customization. Finger/thumb prostheses may be partial prostheses attached to the remaining finger or total prostheses attached to the hand using suction, cement, or osseointegration techniques. Finger/thumb prostheses are available in a variety of colors, sizes, and designs (e.g., for children, women, men); they are used mainly in patients who suffered amputations due to traumatic injuries or who have congenital absences or abnormalities."
disease causing inflammation,C0267770,Retractile Mesenteritis,3,,48,28.4439,,and_definitions;phrase_definitions,,"Sclerosing mesenteritis (SM) is a rare pathological disease causing inflammation of the adipose tissue of the small bowel mesentery and is commonly associated with abdominal pain, diarrhea, nausea, weight loss, bloating and loss of appetite. The two subforms include mesenteric panniculitis (where inflammation and fatty necrosis are dominant features) and retractile mesenteritis (where fibrosis and retraction dominate)."
blood from impurities,C0180412,"Dialyzers, Hemodialysis, Hollow-Fiber",4,,47,14.5313,,and_definitions;phrase_definitions,,"Dialyzers designed to perform blood dialysis, a procedure that combines the separation of molecules with different characteristics through a semi -permeable membrane (diffusion) and the simultaneous movement of fluid through the membrane under imposed pressure gradients (ultrafiltration), with the membrane in the form of hollow fibers. These dialyzers typically consist of cylindrical containers with several hundreds or thousands of longitudinally arranged hollow-fiber capillary tubes; the tube walls work as a semi-permeable membrane. Blood enters and exits through the ends of the hollow fibers and travels through their lumens, while the dialysate flows through the container outside of the fibers. Hollow fiber hemodialysis dialyzers are used to cleanse a patient's blood from impurities caused by acute failure or more frequently chronic malfunction of the kidneys; they are the most common type of dialyzer in current hemodialysis machines. Dedicated high-permeability (also known as high-flow) hollow fiber dialyzers using large-pore membranes are also available."
blood from impurities caused,C0180412,"Dialyzers, Hemodialysis, Hollow-Fiber",4,,47,16.6630,,and_definitions;phrase_definitions,,"Dialyzers designed to perform blood dialysis, a procedure that combines the separation of molecules with different characteristics through a semi -permeable membrane (diffusion) and the simultaneous movement of fluid through the membrane under imposed pressure gradients (ultrafiltration), with the membrane in the form of hollow fibers. These dialyzers typically consist of cylindrical containers with several hundreds or thousands of longitudinally arranged hollow-fiber capillary tubes; the tube walls work as a semi-permeable membrane. Blood enters and exits through the ends of the hollow fibers and travels through their lumens, while the dialysate flows through the container outside of the fibers. Hollow fiber hemodialysis dialyzers are used to cleanse a patient's blood from impurities caused by acute failure or more frequently chronic malfunction of the kidneys; they are the most common type of dialyzer in current hemodialysis machines. Dedicated high-permeability (also known as high-flow) hollow fiber dialyzers using large-pore membranes are also available."
inflammation of a synovial,C1739148,Acute synovitis,4,,47,43.9578,,and_definitions;phrase_definitions,,An acute inflammation of a synovial membrane. It is associated with swelling and pain in the affected area.
inflammation of the adipose,C0267770,Retractile Mesenteritis,4,,47,29.7673,,and_definitions;phrase_definitions,,"Sclerosing mesenteritis (SM) is a rare pathological disease causing inflammation of the adipose tissue of the small bowel mesentery and is commonly associated with abdominal pain, diarrhea, nausea, weight loss, bloating and loss of appetite. The two subforms include mesenteric panniculitis (where inflammation and fatty necrosis are dominant features) and retractile mesenteritis (where fibrosis and retraction dominate)."
skin of the vagina,C0042256,Pruritus of vagina,4,,47,38.4771,,and_definitions;phrase_definitions,,"Itching of the skin of the vagina, vulva, and surrounding area."
congenital cardiovascular abnormality,C3536741,Discordant ventriculoarterial connection,5,,46,47.4203,,and_definitions;phrase_definitions,,A rare congenital cardiovascular abnormality in which the aorta arises from the right ventricle and the pulmonary artery arises from the left ventricle.
skin with recent,C0031736,Polymorphous light eruption,5,,46,22.2096,,and_definitions;phrase_definitions,,"A red, edematous rash that occurs on areas of the skin with recent exposure to sunlight."
