query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
retention of carbon dioxide,C0001127,"Acidosis, Respiratory",3,,48,49.3675,,and_definitions;phrase_definitions,,Respiratory retention of carbon dioxide. It may be chronic or acute.
swelling in the abdomen,C0000734,Abdominal mass,3,,48,47.4038,,and_definitions;phrase_definitions,,An abnormal enlargement or swelling in the abdomen. []
inability of the kidneys,C0001126,Renal tubular acidosis,4,,47,11.1631,,and_definitions;phrase_definitions,,The inability of the kidneys to maintain acid-base homeostasis.
inflammation of the bronchioles,C0001311,Acute bronchiolitis,4,,47,49.1121,,and_definitions;phrase_definitions,,Acute inflammation of the bronchioles usually caused by the respiratory syncytial virus.
inflammation of the thyroid,C0001360,Acute thyroiditis,4,,47,41.2972,,and_definitions;phrase_definitions,,Acute inflammation of the thyroid gland.
skin due to increase,C0001403,Addison Disease,4,,47,9.7668,,and_definitions;phrase_definitions,,"An adrenal disease characterized by the progressive destruction of the ADRENAL CORTEX, resulting in insufficient production of ALDOSTERONE and HYDROCORTISONE. Clinical symptoms include ANOREXIA; NAUSEA; WEIGHT LOSS; MUSCLE WEAKNESS; and HYPERPIGMENTATION of the SKIN due to increase in circulating levels of ACTH precursor hormone which stimulates MELANOCYTES."
skin with severe acne,C0001193,Apert syndrome,4,,47,13.0747,,and_definitions;phrase_definitions,,"Apert syndrome is a genetic disorder characterized by skeletal abnormalities. A key feature of Apert syndrome is the premature closure of the bones of the skull (craniosynostosis). This early fusion prevents the skull from growing normally and affects the shape of the head and face. In addition, a varied number of fingers and toes are fused together (syndactyly).~Craniosynostosis causes many of the characteristic facial features of Apert syndrome. Premature fusion of the skull bones prevents the head from growing normally, which leads to a sunken appearance in the middle of the face (midface hypoplasia), a beaked nose, a wrinkled forehead, and an opening in the roof of the mouth (a cleft palate). In individuals with Apert syndrome, an underdeveloped upper jaw can lead to dental problems, such as missing teeth, irregular tooth enamel, and crowded teeth.~Many individuals with Apert syndrome have vision problems due to eye abnormalities, which can include bulging eyes (exophthalmos), wide-set eyes (hypertelorism), outside corners of the eyes that point downward (downslanting palpebral fissures), eyes that do not look in the same direction (strabismus), and shallow eye sockets (ocular proptosis). Some people with Apert syndrome have hearing loss or recurrent ear infections due to malformed ear structures.~Abnormal development of structures in the face and head can also cause partial blockage of the airways and lead to breathing difficulties in people with Apert syndrome. Craniosynostosis also affects development of the brain, which can disrupt intellectual development. Cognitive abilities in people with Apert syndrome range from normal to mild or moderate intellectual disability.~Individuals with Apert syndrome have syndactyly of the fingers and toes. The severity of the fusion varies, although the hands tend to be more severely affected than the feet. Most commonly, three digits on each hand and foot are fused together. In the most severe cases, all of the fingers and toes are fused. Rarely, people with Apert syndrome may have extra fingers or toes (polydactyly). Some people with Apert syndrome have abnormalities in the bones of the elbows or shoulders. These bone problems can restrict movement and impede everyday activities. In some people, abnormalities occur in both sides of the body, but in others, only one side is affected.~Additional signs and symptoms of Apert syndrome can include unusually heavy sweating (hyperhidrosis), oily skin with severe acne, or patches of missing hair in the eyebrows."
hepatitis resulting,C0001306,Acute alcoholic liver disease,5,,46,31.5149,,and_definitions;phrase_definitions,,Acute hepatitis resulting from ingestion of alcohol.
retention in the uterus,C0000814,Missed abortion,5,,46,30.8436,,and_definitions;phrase_definitions,,The retention in the UTERUS of a dead FETUS two months or more after its DEATH.
retention in uterus,C0000814,Missed abortion,5,,46,30.8436,,and_definitions;phrase_definitions,,Retention in uterus of an abortus.
